vendor name,model name,MCYT,MMIN,MMAX,CACH,CACHE,CHMIN,CHMAX,PRP,SQRPERF,ERP,MAVG,CHCAP
ibm,3081:d,26,16000,32000,6.4,64,8,24,465,21.56385865,350,24,6.538461538
ibm,3083:b,26,8000,32000,0,0,8,24,277,16.64331698,220,20,6.538461538
ibm,3083:e,26,8000,16000,0,0,8,16,185,13.60147051,113,12,5
ibm,370/125-2,480,96,512,0,0,1,1,6,2.449489743,15,0.304,0.041666667
ibm,370/148,203,1000,2000,0,0,1,5,24,4.898979486,21,1.5,0.197044335
ibm,370/158-3,115,512,6000,1.6,16,1,6,45,6.708203932,35,3.256,0.391304348
ibm,38/3,1100,512,1500,0,0,1,1,7,2.645751311,18,1.006,0.018181818
ibm,38/4,1100,768,2000,0,0,1,1,13,3.605551275,20,1.384,0.018181818
ibm,38/5,600,768,2000,0,0,1,1,16,4,20,1.384,0.033333333
ibm,38/7,400,2000,4000,0,0,1,1,32,5.656854249,28,3,0.05
ibm,38/8,400,4000,8000,0,0,1,1,32,5.656854249,45,6,0.05
ibm,4321,900,1000,1000,0,0,1,2,11,3.31662479,18,1,0.027777778
ibm,4331-1,900,512,1000,0,0,1,2,11,3.31662479,17,0.756,0.027777778
ibm,4331-11,900,1000,4000,0.4,4,1,2,18,4.242640687,26,2.5,0.027777778
ibm,4331-2,900,1000,4000,0.8,8,1,2,22,4.69041576,28,2.5,0.027777778
ibm,4341,900,2000,4000,0,0,3,6,37,6.08276253,28,3,0.061111111
ibm,4341-1,225,2000,4000,0.8,8,3,6,40,6.32455532,31,3,0.244444444
ibm,4341-10,225,2000,4000,0.8,8,3,6,34,5.830951895,31,3,0.244444444
ibm,4341-11,180,2000,8000,0.8,8,1,6,50,7.071067812,42,5,0.25
ibm,4341-12,185,2000,16000,1.6,16,1,6,76,8.717797887,76,9,0.243243243
ibm,4341-2,180,2000,16000,1.6,16,1,6,66,8.124038405,76,9,0.25
ibm,4341-9,225,1000,4000,0.2,2,3,6,24,4.898979486,26,2.5,0.244444444
ibm,4361-4,25,2000,12000,0.8,8,1,4,49,7,59,7,1.4
ibm,4361-5,25,2000,12000,1.6,16,3,5,66,8.124038405,65,7,2
ibm,4381-1,17,4000,16000,0.8,8,6,12,100,10,101,10,5.882352941
ibm,4381-2,17,4000,16000,3.2,32,6,12,133,11.53256259,116,10,5.882352941
ibm,8130-a,1500,768,1000,0,0,0,0,12,3.464101615,18,0.884,0.006666667
ibm,8130-b,1500,768,2000,0,0,0,0,18,4.242640687,20,1.384,0.006666667
ibm,8140,800,768,2000,0,0,0,0,20,4.472135955,20,1.384,0.0125
ibm,4436,50,2000,4000,0,0,3,6,27,5.196152423,30,3,1.1
ibm,4443,50,2000,8000,0.8,8,3,6,45,6.708203932,44,5,1.1
ibm,4445,50,2000,8000,0.8,8,1,6,56,7.483314774,44,5,0.9
ibm,4446,50,2000,16000,2.4,24,1,6,70,8.366600265,82,9,0.9
ibm,4460,50,2000,16000,2.4,24,1,6,80,8.94427191,82,9,0.9
nas,as/30,100,1000,8000,0,0,2,6,16,4,37,4.5,0.5
nas,as/31,100,1000,8000,2.4,24,2,6,26,5.099019514,46,4.5,0.5
nas,as/32,100,1000,8000,2.4,24,3,6,32,5.656854249,46,4.5,0.55
nas,as/42,50,2000,16000,1.2,12,3,16,45,6.708203932,80,9,2.1
nas,as/43,50,2000,16000,2.4,24,6,16,54,7.348469228,88,9,2.4
nas,as/44,50,2000,16000,2.4,24,6,16,65,8.062257748,88,9,2.4
nas,as/3000,115,2000,8000,1.6,16,1,3,50,7.071067812,46,5,0.260869565
nas,as/3000-n,115,2000,4000,0.2,2,1,5,40,6.32455532,29,3,0.347826087
nas,as/5000,92,2000,8000,3.2,32,1,6,62,7.874007874,53,5,0.489130435
nas,as/5000-e,92,2000,8000,3.2,32,1,6,60,7.745966692,53,5,0.489130435
nas,as/5000-n,92,2000,8000,0.4,4,1,6,50,7.071067812,41,5,0.489130435
nas,as/6130,75,4000,16000,1.6,16,1,6,66,8.124038405,86,10,0.6
nas,as/6150,60,4000,16000,3.2,32,1,6,86,9.273618495,95,10,0.75
nas,as/6620,60,2000,16000,6.4,64,5,8,74,8.602325267,107,9,1.25
nas,as/6630,60,4000,16000,6.4,64,5,8,93,9.643650761,117,10,1.25
nas,as/6650,50,4000,16000,6.4,64,5,10,111,10.53565375,119,10,1.7
nas,as/7000,72,4000,16000,6.4,64,8,16,143,11.95826074,120,10,1.805555556
nas,as/7000-n,72,2000,8000,1.6,16,6,8,105,10.24695077,48,5,1.111111111
nas,as/8040,40,8000,16000,3.2,32,8,16,214,14.62873884,126,12,3.25
nas,as/8050,40,8000,32000,6.4,64,8,24,277,16.64331698,266,20,4.25
nas,as/8060,35,8000,32000,6.4,64,8,24,370,19.23538406,270,20,4.857142857
nas,as/9000-dpc,38,16000,32000,12.8,128,16,32,510,22.58317958,426,24,6.578947368
nas,as/9000-n,48,4000,24000,3.2,32,8,24,214,14.62873884,151,14,3.541666667
nas,as/9040,38,8000,32000,6.4,64,8,24,326,18.05547009,267,20,4.473684211
nas,as/9060,30,16000,32000,25.6,256,16,24,510,22.58317958,603,24,7
ncr,v8535:ii,112,1000,1000,0,0,1,4,8,2.828427125,19,1,0.3125
ncr,v8545:ii,84,1000,2000,0,0,1,6,12,3.464101615,21,1.5,0.535714286
ncr,v8555:ii,56,1000,4000,0,0,1,6,17,4.123105626,26,2.5,0.803571429
ncr,v8565:ii,56,2000,6000,0,0,1,8,21,4.582575695,35,4,0.982142857
ncr,v8565:ii-e,56,2000,8000,0,0,1,8,24,4.898979486,41,5,0.982142857
ncr,v8575:ii,56,4000,8000,0,0,1,8,34,5.830951895,47,6,0.982142857
ncr,v8585:ii,56,4000,12000,0,0,1,8,42,6.480740698,62,8,0.982142857
ncr,v8595:ii,56,4000,16000,0,0,1,8,46,6.782329983,78,10,0.982142857
ncr,v8635,38,4000,8000,3.2,32,16,32,51,7.141428429,80,6,6.578947368
ncr,v8650,38,4000,8000,3.2,32,16,32,116,10.77032961,80,6,6.578947368
ncr,v8655,38,8000,16000,6.4,64,4,8,100,10,142,12,1.842105263
ncr,v8665,38,8000,24000,16,160,4,8,140,11.83215957,281,16,1.842105263
ncr,v8670,38,4000,16000,12.8,128,16,32,212,14.56021978,190,10,6.578947368
spe,1100/61-h1,116,2000,8000,3.2,32,5,28,70,8.366600265,56,5,1.50862069
spe,1100/81,50,2000,32000,2.4,24,6,26,114,10.67707825,182,17,3.4
spe,1100/82,50,2000,32000,4.8,48,26,52,208,14.4222051,227,17,8
spe,1100/83,50,2000,32000,11.2,112,52,104,307,17.52141547,341,17,15.8
spe,1100/84,50,4000,32000,11.2,112,52,104,397,19.92485885,360,18,15.8
spe,1100/93,30,8000,64000,9.6,96,12,176,915,30.24896692,919,36,31.66666667
spe,1100/94,30,8000,64000,12.8,128,12,176,1150,33.91164992,978,36,31.66666667
spe,80/3,180,262,4000,0,0,1,3,12,3.464101615,24,2.131,0.166666667
spe,80/4,180,512,4000,0,0,1,3,14,3.741657387,24,2.256,0.166666667
spe,80/5,180,262,4000,0,0,1,3,18,4.242640687,24,2.131,0.166666667
spe,80/6,180,512,4000,0,0,1,3,21,4.582575695,24,2.256,0.166666667
spe,80/8,124,1000,8000,0,0,1,8,42,6.480740698,37,4.5,0.443548387
spe,90/80-model-3,98,1000,8000,3.2,32,2,8,46,6.782329983,50,4.5,0.612244898
